id,title,authors,link,journal_publication,published_date
39504003,Prevalence of HFpEF in Isolated Severe Secondary Tricuspid Regurgitation.,"Naser JA, Harada T, Reddy YN, Pislaru SV, Michelena HI, Scott CG, Kennedy AM, Pellikka PA, Nkomo VT, Eleid MF, Borlaug BA.",https://pubmed.ncbi.nlm.nih.gov//39504003/,JAMA Cardiol, 2025 Feb 1
39313725,Modulating energy metabolism to treat non-obstructive hypertrophic cardiomyopathy? Insights from IMPROVE-HCM.,"Beghini A, Aimo A, Ambrosy AP, Tomasoni D.",https://pubmed.ncbi.nlm.nih.gov//39313725/,Heart Fail Rev, 2025 Jan
38635080,Current advances in human-induced pluripotent stem cell-based models and therapeutic approaches for congenital,"Cao M, Liu Y, Sun Y, Han R, Jiang H.",https://pubmed.ncbi.nlm.nih.gov//38635080/,Mol Cell Biochem, 2025 Jan
39039301,Preclinical models of cardiotoxicity from immune checkpoint inhibitor therapy.,"Buehning F, Lerchner T, Vogel J, Hendgen-Cotta UB, Totzeck M, Rassaf T, Michel L.",https://pubmed.ncbi.nlm.nih.gov//39039301/,Basic Res Cardiol, 2025 Feb
39658699,Changes in tumor and cardiac metabolism upon immune checkpoint.,"Leven AS, Wagner N, Nienaber S, Messiha D, Tasdogan A, Ugurel S.",https://pubmed.ncbi.nlm.nih.gov//39658699/,Basic Res Cardiol, 2025 Feb
39644913,TransCatheter aortic valve implantation and fractional flow reserve-guided percutaneous coronary intervention versus conventional surgical aortic valve replacement and coronary bypass grafting for treatment of patients with aortic valve stenosis and complex or multivessel coronary,"Kedhi E, Hermanides RS, Dambrink JE, Singh SK, Ten Berg JM, van Ginkel D, Hudec M, Amoroso G, Amat-Santos IJ, Andreas M, Campante Teles R, Bonnet G, Van Belle E, Conradi L, van Garsse L, Wojakowski W, Voudris V, Sacha J, Cervinka P, Lipsic E, Somi S, Nombela-Franco L, Postma S, Piayda K, De Luca G, Kolkman E, Malinowski KP, Modine T; TCW study group.",https://pubmed.ncbi.nlm.nih.gov//39644913/,Lancet, 2025 Dec 21
39567104,Basic Cardiac Point-of-Care Ultrasound and Its Clinical Applications.,"Salame G, Liu G.",https://pubmed.ncbi.nlm.nih.gov//39567104/,Med Clin North Am, 2025 Jan
37071079,The Role of SGLT2 Inhibitors in Cardiovascular Management.,"Wang A, Mahmood U, Dey S, Fishkin T, Frishman WH, Aronow WS.",https://pubmed.ncbi.nlm.nih.gov//37071079/,Cardiol Rev, 2025 Jan-Feb 01
39506617,Catheter Ablation of Atrial Fibrillation in Infiltrative Cardiomyopathies: A Narrative Review.,"Satish V, Maliha M, Chi KY, Kharawala A, Seo J, Apple S, Alhuarrat MAD, Palaiodimos L, Di Biase L, Krumerman A, Ferrick K.",https://pubmed.ncbi.nlm.nih.gov//39506617/,J Cardiovasc Electrophysiol, 2025 Jan
39576264,State of the art and perspectives of gene therapy in,"Van Linthout S, Stellos K, Giacca M, Bertero E, Cannata A, Carrier L, Garcia-Pavia P, Ghigo A, González A, Haugaa KH, Imazio M, Lopes LR, Most P, Pollesello P, Schunkert H, Streckfuss-Bömeke K, Thum T, Tocchetti CG, Tschöpe C, van der Meer P, van Rooij E, Metra M, Rosano GMC, Heymans S.",https://pubmed.ncbi.nlm.nih.gov//39576264/,Eur J Heart Fail, 2025 Jan
39586418,Cardiac biomarkers and CT coronary angiography for the assessment of coronary,"Myrmel GMS, Wereski R, Karaji I, Saeed N, Aakre KM, Mills NL, Pedersen ER.",https://pubmed.ncbi.nlm.nih.gov//39586418/,Clin Biochem, 2025 Jan
38833638,Cardiac Dysfunction Among Breast Cancer Survivors: Role of Cardiotoxic Therapy and Cardiovascular Risk Factors.,"Bostany G, Chen Y, Francisco L, Dai C, Meng Q, Sparks J, Sessions M, Nabell L, Stringer-Reasor E, Khoury K, Lenneman C, Keene K, Armenian S, Landier W, Bhatia S.",https://pubmed.ncbi.nlm.nih.gov//38833638/,J Clin Oncol, 2025 Jan
37919530,Experience with SGLT2 Inhibitors in Patients with Single Ventricle Congenital,"Konduri A, West C, Lowery R, Hunter T, Jarosz A, Yu S, Lim HM, McCormick AD, Schumacher KR, Peng DM.",https://pubmed.ncbi.nlm.nih.gov//37919530/,Pediatr Cardiol, 2025 Jan
39551562,Ischemic,"Condurache DG, Raisi-Estabragh Z, Ghosh AK, Mamas MA.",https://pubmed.ncbi.nlm.nih.gov//39551562/,Cardiol Clin, 2025 Feb
39441333,Changing the paradigm in,"Chang AJ, Liang Y, Girouard MP, Bhatt AS, Sandhu AT, Sauer AJ, Greene SJ, Harrington J, Go AS, Ambrosy AP.",https://pubmed.ncbi.nlm.nih.gov//39441333/,Heart Fail Rev, 2025 Jan
39389223,"Hormones, Stress, and","Poteat TC, Ehrig M, Ahmadi H, Malik M, Reisner SL, Radix AE, Malone J, Cannon C, Streed CG Jr, Toribio M, Cortina C, Rich A, Mayer KH, DuBois LZ, Juster RP, Wirtz AL, Perreira KM.",https://pubmed.ncbi.nlm.nih.gov//39389223/,Am J Prev Med, 2025 Feb
39465469,The many faces of SCN5A pathogenic variants: from channelopathy to cardiomyopathy.,"Vouloagkas I, Agbariah A, Zegkos T, Gossios TD, Tziomalos G, Parcharidou D, Didagelos M, Kamperidis V, Ziakas A, Efthimiadis GK.",https://pubmed.ncbi.nlm.nih.gov//39465469/,Heart Fail Rev, 2025 Jan
39551559,Unique Challenges of Adult Congenital,"Lluri G, Venkatesh P.",https://pubmed.ncbi.nlm.nih.gov//39551559/,Cardiol Clin, 2025 Feb
39515993,How the brain impacts the,"Stengl H, Poller WC, Di Vece D, Templin C, Endres M, Nolte CH, Scheitz JF.",https://pubmed.ncbi.nlm.nih.gov//39515993/,Heart, 2025 Jan 13
39344920,Cardiovascular events following coronavirus,"Xu Y, Li H, Santosa A, Wettermark B, Fall T, Björk J, Börjesson M, Gisslén M, Nyberg F.",https://pubmed.ncbi.nlm.nih.gov//39344920/,Eur Heart J, 2025 Jan 7
39392562,Vitamin D-Parathyroid Hormone-Fibroblast Growth Factor 23 Axis and Cardiac Remodeling.,"Deng C, Wu Y.",https://pubmed.ncbi.nlm.nih.gov//39392562/,Am J Cardiovasc Drugs, 2025 Jan
39731858,"Wearable devices, ischemic","Ballavenuto JMA, Tongtip N, Fischer NLS, Bardus M.",https://pubmed.ncbi.nlm.nih.gov//39731858/,Maturitas, 2025 Feb
38972723,Lifetime Risk of Incident Coronary,"Saito I, Yamagishi K, Kokubo Y, Yatsuya H, Muraki I, Iso H, Inoue M, Tsugane S, Sawada N.",https://pubmed.ncbi.nlm.nih.gov//38972723/,J Atheroscler Thromb, 2025 Jan 1
39513584,Circular RNAs in coronary,"Fan Z, Yuan X, Yuan Y.",https://pubmed.ncbi.nlm.nih.gov//39513584/,Int J Mol Med, 2025 Jan
39639651,Application of nanoultrasonography in early diagnosis of coronary,"Wan W, Zhou J, Ha X, Han C.",https://pubmed.ncbi.nlm.nih.gov//39639651/,Nanomedicine (Lond), 2025 Jan
39306295,"The ""Padua classification"" of cardiomyopathies: Combining pathobiological basis and morpho-functional remodeling.","Corrado D, Thiene G, Bauce B, Calore C, Cipriani A, De Lazzari M, Migliore F, Perazzolo Marra M, Pilichou K, Rigato I, Rizzo S, Zorzi A, Basso C.",https://pubmed.ncbi.nlm.nih.gov//39306295/,Int J Cardiol, 2025 Jan 1
39547648,Recommendations for the use of natriuretic peptides for early diagnosis of,"Neves JS, Baptista R, Azevedo de Pape E, Rodrigues Pereira M, Paulos R, Pinheiro Dos Santos J, Gavina C, Jácome de Castro J.",https://pubmed.ncbi.nlm.nih.gov//39547648/,Rev Port Cardiol, 2025 Jan
39611257,Unraveling Comorbidities Contribution to Cardiac Diastolic Dysfunction and,"Villalba-Orero M, López-Olañeta M, Campos-Olmo B, Jimenez-Carretero D, Sánchez L, Sánchez-Cabo F, Ausiello A, Cañas-Álvaro R, Camafeita E, Vázquez J, García-Pavía P, Pascual-Figal D, Lara-Pezzi E.",https://pubmed.ncbi.nlm.nih.gov//39611257/,Circ Heart Fail, 2025 Jan
39577179,A novel label-free biosensor for myocardial ischemia biomarker detection via CRISPR/12a.,"Liu C, Liu Q, Chen X, Guo M, Chen Z, Zhao J, Chen H, Guo S, Cen H, Yao G, Chen L, Wang Y, Yang PC, Wang L, Chen F.",https://pubmed.ncbi.nlm.nih.gov//39577179/,Biosens Bioelectron, 2025 Feb 15
39613586,Mitral Valve Repair Versus Replacement in Patients Undergoing Concomitant Aortic Valve Replacement.,"Zhang Y, Fu G, Li G, Jian B, Wang R, Huang Y, Chu T, Wu Z, Zhou Z, Liang M.",https://pubmed.ncbi.nlm.nih.gov//39613586/,Heart Lung Circ, 2025 Jan
39278568,Knowledge and perception among adults of their congenital,"Barbas de Albuquerque F, Neves I, Teixeira R, Mano T, Rito T, O Costa P, Ferreira R, de Sousa L, Pinto F.",https://pubmed.ncbi.nlm.nih.gov//39278568/,Rev Port Cardiol, 2025 Feb
38150040,Cross or Not to Cross-Dilemma of the Pulmonary Arteries.,"Bako D, Dönmez YN, Uncu UY, Ergon EY, Genç S, Epçaçan ZK, Alpat Ş, Epçaçan S.",https://pubmed.ncbi.nlm.nih.gov//38150040/,Pediatr Cardiol, 2025 Jan
39115424,Nanodomain cAMP signaling in cardiac pathophysiology: potential for developing targeted therapeutic interventions.,"Zaccolo M, Kovanich D.",https://pubmed.ncbi.nlm.nih.gov//39115424/,Physiol Rev, 2025 Apr 1
39278992,,"Mahalleh M, Soleimani H, Pazoki M, Maleki S, Dastjerdi P, Ebrahimi P, Zafarmandi S, Khamene SS, Khawajah IM, Tabassum S, Bhardwaj R, Mattumpuram J, Kaplan A, Vaseghi M, Seilani P, Bozorgi A, Hosseini K, Tzeis S.",https://pubmed.ncbi.nlm.nih.gov//39278992/,Heart Fail Rev, 2025 Jan
38909159,Cardiac evaluation of patients with juvenile dermatomyositis.,"Akgün G, Sözeri B, Başar EZ, Şahin N, Bayrak YE, Ulu K, Güngör HS, Doğan M, Öner T, Karacan M, Babaoğlu K, Anık Y, Sönmez HE.",https://pubmed.ncbi.nlm.nih.gov//38909159/,Pediatr Res, 2025 Jan
39461033,Patient education in ethnic minority and migrant patients with,"Zhang L, Ghisi GLM, Shi W, Pakosh M, Main E, Gallagher R.",https://pubmed.ncbi.nlm.nih.gov//39461033/,Patient Educ Couns, 2025 Jan
39537293,Considerations for Women with Congenital,"Turner ME, Jones T, Bauser-Heaton H.",https://pubmed.ncbi.nlm.nih.gov//39537293/,Interv Cardiol Clin, 2025 Jan
39537284,Approach and Effects of Percutaneous Mitral Valve Repair in Women.,"Lowenstern AM, Madan N, Chung CJ.",https://pubmed.ncbi.nlm.nih.gov//39537284/,Interv Cardiol Clin, 2025 Jan
39745989,Discovery of Titin and Its Role in,"Granzier HL, Labeit S.",https://pubmed.ncbi.nlm.nih.gov//39745989/,Circ Res, 2025 Jan 3
39098860,The,"Yang X, Sun J, Yang H, Guo T, Pan J, Wang W.",https://pubmed.ncbi.nlm.nih.gov//39098860/,Med Biol Eng Comput, 2025 Jan
38771082,Thirst symptoms in patients with,"Zheng Y, Chen Q, Xia C, Liu H.",https://pubmed.ncbi.nlm.nih.gov//38771082/,J Adv Nurs, 2025 Jan
38806171,2024 update in,"Beghini A, Sammartino AM, Papp Z, von Haehling S, Biegus J, Ponikowski P, Adamo M, Falco L, Lombardi CM, Pagnesi M, Savarese G, Metra M, Tomasoni D.",https://pubmed.ncbi.nlm.nih.gov//38806171/,ESC Heart Fail, 2025 Feb
38908831,Thrombocytopenia developed in intensive care unit for congenital,"Shen H, He Q, Li W, Zhu G, Wang X, Liu J, Zhang Y, Li S, Zhou Z.",https://pubmed.ncbi.nlm.nih.gov//38908831/,J Thromb Haemost, 2025 Jan
39424597,Phosphodiesterase 5 and its inhibitors with ischaemic,"Xiao J, Zhang N, Gao Z, Wei Y, Wei H, Qiu Z, Sundquist K, Sundquist J, Ji J, Huang W.",https://pubmed.ncbi.nlm.nih.gov//39424597/,Eur Heart J Cardiovasc Pharmacother, 2025 Feb 8
39629560,Autoimmune-Like Mechanism in,"Martini E, Cremonesi M, Felicetta A, Serio S, Puccio S, Pelamatti E, van Beek JJP, Papadopoulou V, Catalano C, Fanuele F, Giuliano D, Basso G, Bonfiglio CA, Panico C, Vacchiano M, Carullo P, Papa L, D'Andrea C, Tuzger N, Marchini S, Magistroni P, Deaglio S, Amoroso A, Lugli E, Condorelli G, Kallikourdis M.",https://pubmed.ncbi.nlm.nih.gov//39629560/,Circ Res, 2025 Jan 3
39320979,A novel approach for,"Sekar J, Aruchamy P.",https://pubmed.ncbi.nlm.nih.gov//39320979/,Network, 2025 Feb
38123833,Enhancing Quality of Congenital,"Mohsin S, Hasan B, Zheleva B, Kumar RK.",https://pubmed.ncbi.nlm.nih.gov//38123833/,Pediatr Cardiol, 2025 Jan
39690827,Novel Therapeutic Strategies Targeting Fibroblasts to Improve,Li Y.,https://pubmed.ncbi.nlm.nih.gov//39690827/,J Cell Physiol, 2025 Jan
39545867,Definitions of clinical study outcome measures for cardiovascular,"Wilkinson C, Bhatty A, Batra G, Aktaa S, Smith AB, Dwight J, Ruciński M, Chappell S, Alfredsson J, Erlinge D, Ferreira J, Guðmundsdóttir IJ, Hrafnkelsdóttir ÞJ, Ingimarsdóttir IJ, Irs A, Jánosi A, Járai Z, Oliveira-Santos M, Popescu BA, Vasko P, Vinereanu D, Yap J, Bugiardini R, Cenko E, Nadarajah R, Sydes MR, James S, Maggioni AP, Wallentin L, Casadei B, Gale CP; Global Cardiovascular Outcomes Consortium and in collaboration with ACNAP, ACVC, EACVI, EAPC, EAPCI, EHRA, ESC Committee for Young CV Professionals, ESC Registry Committee, HFA, ESC Patient Forum and these Working Groups: aorta and peripheral vascular diseases, atherosclerosis and vascular biology, cardiac cellular electrophysiology, cardiovascular pharmacotherapy, cardiovascular regenerative and restorative medicine, cardiovascular surgery, cellular biology of the heart, e-cardiology, myocardial function, pulmonary circulation and right ventricular function and thrombosis.",https://pubmed.ncbi.nlm.nih.gov//39545867/,Eur Heart J, 2025 Jan 7
39700711,Prevalence and risk factors of frailty in older patients with coronary,"Li T, Shi W, Wang G, Jiang Y.",https://pubmed.ncbi.nlm.nih.gov//39700711/,Arch Gerontol Geriatr, 2025 Mar
39513608,Peroxisome proliferator-activated receptor gamma coactivator-1alpha in,"Sun S, Guo H, Chen G, Zhang H, Zhang Z, Wang X, Li D, Li X, Zhao G, Lin F.",https://pubmed.ncbi.nlm.nih.gov//39513608/,Mol Med Rep, 2025 Jan
39312851,Impact of gut microbiota on cardiac aging.,"Yin Z, Fu L, Wang Y, Tai S.",https://pubmed.ncbi.nlm.nih.gov//39312851/,Arch Gerontol Geriatr, 2025 Jan
39288222,Clinical features and outcomes in carriers of pathogenic desmoplakin variants.,"Gasperetti A, Carrick RT, Protonotarios A, Murray B, Laredo M, van der Schaaf I, Lekanne RH, Syrris P, Cannie D, Tichnell C, Cappelletto C, Gigli M, Medo K, Saguner AM, Duru F, Gilotra NA, Zimmerman S, Hylind R, Abrams DJ, Lakdawala NK, Cadrin-Tourigny J, Targetti M, Olivotto I, Graziosi M, Cox M, Biagini E, Charron P, Casella M, Tondo C, Yazdani M, Ware JS, Prasad SK, Calò L, Smith ED, Helms AS, Hespe S, Ingles J, Tandri H, Ader F, Peretto G, Peters S, Horton A, Yao J, Dittmann S, Schulze-Bahr E, Qureshi M, Young K, Carruth ED, Haggerty C, Parikh VN, Taylor M, Mestroni L, Wilde A, Sinagra G, Merlo M, Gandjbakhch E, van Tintelen JP, Te Riele ASJM, Elliott PM, Calkins H, James CA.",https://pubmed.ncbi.nlm.nih.gov//39288222/,Eur Heart J, 2025 Jan 21
39019383,Causal inference in the field of arrhythmia: An introduction to mendelian randomization.,"Lukas E, van de Weijer M, Bergstedt J, Bezzina CR, Treur JL.",https://pubmed.ncbi.nlm.nih.gov//39019383/,Heart Rhythm, 2025 Jan
39603560,Extracellular vesicle therapeutics for cardiac repair.,"Hu Y, Zhang W, Ali SR, Takeda K, Vahl TP, Zhu D, Hong Y, Cheng K.",https://pubmed.ncbi.nlm.nih.gov//39603560/,J Mol Cell Cardiol, 2025 Feb
39576684,RASopathies in Cardiac,"Chennappan S, Kontaridis MI.",https://pubmed.ncbi.nlm.nih.gov//39576684/,Annu Rev Med, 2025 Jan
39549270,Evaluating Performance and Agreement of Coronary,"Abramowitz SA, Boulier K, Keat K, Cardone KM, Shivakumar M, DePaolo J, Judy R, Bermudez F, Mimouni N, Neylan C, Kim D, Rader DJ, Ritchie MD, Voight BF, Pasaniuc B, Levin MG, Damrauer SM; Penn Medicine BioBank.",https://pubmed.ncbi.nlm.nih.gov//39549270/,JAMA, 2025 Jan 7
39419453,PFKP inhibition protects against pathological cardiac hypertrophy by regulating protein synthesis.,"Wu XY, Peng S, Li XT, Chen SW, Wei Y, Ye YT, Zhou CZ, Zhong ZK, Gao LZ, Jin CY, Kong DP, Liu SW, Zhou GQ.",https://pubmed.ncbi.nlm.nih.gov//39419453/,Biochim Biophys Acta Mol Basis Dis, 2025 Jan
38724618,The role and mechanism of epigenetics in anticancer drug-induced cardiotoxicity.,"Liu X, Li Z.",https://pubmed.ncbi.nlm.nih.gov//38724618/,Basic Res Cardiol, 2025 Feb
39520615,Diagnosis and management of hypertrophic cardiomyopathy: European vs. American guidelines.,"Aimo A, Todiere G, Barison A, Tomasoni D, Panichella G, Masri A, Maron MS.",https://pubmed.ncbi.nlm.nih.gov//39520615/,Heart Fail Rev, 2025 Mar
39513291,Fetal Cardiac Intervention: A Comprehensive Review of Current Evidence.,"Provinciatto H, Simioni C, Peixoto AB, Micheletti T, da Silva MB, Pilla CB, Araujo Júnior E.",https://pubmed.ncbi.nlm.nih.gov//39513291/,World J Pediatr Congenit Heart Surg, 2025 Jan
39454200,Role of Autophagy in Myocardial Remodeling After Myocardial Infarction.,"Tian RZ, Zhuang DL, Vong CT, He X, Ouyang Q, Liang JH, Guo YP, Wang YH, Zhao S, Yuan H, Ide Nasser M, Li G, Zhu P.",https://pubmed.ncbi.nlm.nih.gov//39454200/,J Cardiovasc Pharmacol, 2025 Jan 1
39706389,Structural,"Elisa E, Bramantono B, Arfijanto MV, Rusli M, Sandra DY, Sutanto H.",https://pubmed.ncbi.nlm.nih.gov//39706389/,Curr Probl Cardiol, 2025 Mar
39541224,Mechanisms and Implications of Electrical Heterogeneity in Cardiac Function in Ischemic,"Martinez-Navarro H, Zhou X, Rodriguez B.",https://pubmed.ncbi.nlm.nih.gov//39541224/,Annu Rev Physiol, 2025 Feb
39442741,Prevalence and determinants of,"Abdikarim H, Ali MA, Abokor AH, Farih OA, Abdillahi AM, Yousuf AM, Muse AH.",https://pubmed.ncbi.nlm.nih.gov//39442741/,Curr Probl Cardiol, 2025 Jan
39389177,Game-changing breakthroughs to redefine the landscape of the renin-angiotensin-aldosterone system in health and,"Balakumar P, Jagadeesh G.",https://pubmed.ncbi.nlm.nih.gov//39389177/,Cell Signal, 2025 Feb
39107044,Pharma[e]cology: How the Gut Microbiome Contributes to Variations in Drug Response.,"Trepka KR, Olson CA, Upadhyay V, Zhang C, Turnbaugh PJ.",https://pubmed.ncbi.nlm.nih.gov//39107044/,Annu Rev Pharmacol Toxicol, 2025 Jan
37428118,,"Giacinto O, Garo ML, Pelliccia F, Minati A, Chello M, Lusini M.",https://pubmed.ncbi.nlm.nih.gov//37428118/,Cardiol Rev, 2025 Jan-Feb 01
39699708,Clinical and research applications of natural language processing for,"Girouard MP, Chang AJ, Liang Y, Hamilton SA, Bhatt AS, Svetlichnaya J, Fitzpatrick JK, Carey ECB, Avula HR, Adatya S, Lee KK, Solomon MD, Parikh RV, Go AS, Ambrosy AP.",https://pubmed.ncbi.nlm.nih.gov//39699708/,Heart Fail Rev, 2025 Mar
39714502,[An unusual tricuspid regurgitation].,"Ricci A, Praderio A.",https://pubmed.ncbi.nlm.nih.gov//39714502/,G Ital Cardiol (Rome), 2025 Jan
39623598,Serial Dilation and Intentional Fracturing of Stents in Congenital,"Gendera K, Bambul Heck P, Eicken A, Tanase D, Ewert P, von Stumm M, Georgiev S.",https://pubmed.ncbi.nlm.nih.gov//39623598/,Catheter Cardiovasc Interv, 2025 Jan
38691070,Long-term outcomes after aortic root replacement for bicuspid aortic valve-associated aneurysm.,"Rajesh K, Chung M, Levine D, Norton E, Patel P, Childress P, Zhao Y, Wang P, Leshnower B, Kurlansky P, Chen E, Takayama H.",https://pubmed.ncbi.nlm.nih.gov//38691070/,J Thorac Cardiovasc Surg, 2025 Feb
39624861,Study of psychosocial factors and endothelial dysfunction in coronary,"Tang N, Li K, Zhang Q, Sun H, Peng C, Hao J, Qi C.",https://pubmed.ncbi.nlm.nih.gov//39624861/,Acta Cardiol, 2025 Feb
39039633,Do Interventions Meet the Needs of Caregivers of Cardiac Patients?: A Scoping Review.,"Nissen NK, Guldin MB, Nielsen CP, Ørtenblad L.",https://pubmed.ncbi.nlm.nih.gov//39039633/,J Cardiovasc Nurs, 2025 Mar-Apr 01
39615866,Identification of hsa_circ_0076957 and miR-4512-targeted COL19A1 as regulators in clopidogrel resistance among stable coronary,"Xu H, Su J, Chen X, Li J, Li Z, Zheng N, Yu R, Li X, Song Y, Li J, Xu F, Li C, Fei X, Du W, Yu Q.",https://pubmed.ncbi.nlm.nih.gov//39615866/,Eur J Pharmacol, 2025 Jan 5
39501678,Prognostic implications and reversibility of pulmonary vascular resistance derived by echocardiography in patients undergoing tricuspid annuloplasty.,"Zhang J, Flachskampf FA, Zhu CY, Chen Y, Wu M, Ren Q, Huang J, Guo R, Gu W, Hung YM, Böyük F, Fang F, Zhang G, Pan X, Chan YH, Chan TL, Yiu KH.",https://pubmed.ncbi.nlm.nih.gov//39501678/,Eur Heart J Cardiovasc Imaging, 2025 Jan 31
39803722,IgE and cardiac,Levick SP.,https://pubmed.ncbi.nlm.nih.gov//39803722/,Acta Physiol (Oxf), 2025 Feb
39148369,Effects of Sacubitril/Valsartan on Survival in Patients with,"Lin DS, Chao YT, Chuang SL, Lee JK, Lin TT, Lin LC, Huang KC, Hwang JJ.",https://pubmed.ncbi.nlm.nih.gov//39148369/,Clin Pharmacol Ther, 2025 Jan
39562230,Challenges of genetics in the diagnosis of sudden cardiac death. Interest for forensic and legal medicine.,"Blanco-Verea A, Carracedo Á, Brion M.",https://pubmed.ncbi.nlm.nih.gov//39562230/,Med Clin (Barc), 2025 Feb 14
39618067,Transcatheter Pulmonary Flow Restrictors: Current Trends and Future Perspectives.,"Malakan Rad E, Hijazi ZM.",https://pubmed.ncbi.nlm.nih.gov//39618067/,Catheter Cardiovasc Interv, 2025 Jan
39326704,Type and dimensions can predict ventricular arrhythmias and cardiac death in primary benign cardiac tumors in children.,"Placidi S, Calcagni G, Lioncino M, Calvieri C, Maiolo S, Di Mambro C, Silvetti MS, Secinaro A, Adorisio R, Albanese S, Galletti L, Drago F.",https://pubmed.ncbi.nlm.nih.gov//39326704/,Int J Cardiol, 2025 Jan 1
39428276,Basal and post-stress ceramide-based risk score CERT1 predicts all-cause mortality and nonfatal myocardial infarction in patients with suspected or established coronary artery,"Mantovani A, Molinero AE, Bonapace S, Lunardi G, Salgarello M, Morandin R, Moretta F, Conti A, Molon G, Laaksonen R, Byrne CD, Targher G.",https://pubmed.ncbi.nlm.nih.gov//39428276/,Nutr Metab Cardiovasc Dis, 2025 Feb
39567015,A pilot study investigating serum carnitine profile of cats with preclinical hypertrophic cardiomyopathy.,"Umezawa M, Aoki T, Niimi S, Takano H, Mamada K, Fujii Y.",https://pubmed.ncbi.nlm.nih.gov//39567015/,J Vet Med Sci, 2025 Jan 10
39351634,Diagnostic and therapeutic practice for HFpEF across continents and regions: An international survey.,"Ingimarsdóttir IJ, Vishram-Nielsen JKK, Einarsson H, Goldfeder S, Mewton N, Barasa A, Basic C, Oerlemans MIFJ, Niederseer D, Shchendrygina A, Gustafsson F, Ruschitzka F, Kida K, Mohty D, Rakotonoel RR, Tun HN, Hrafnkelsdóttir TJ, Saldarriaga C.",https://pubmed.ncbi.nlm.nih.gov//39351634/,ESC Heart Fail, 2025 Feb
