id,name,authors,published_date,journal_publication,link,article_type,volume,issue
s12889-025-21393-4,Healthcare utilization patterns before and after a long COVID diagnosis: a case-control study,"Rick DeVoss, Elizabeth J. Carlton, Sarah E. Jolley and Marcelo C. Perraillon",10 February 2025,BMC Public Health,//bmcpublichealth.biomedcentral.com/articles/10.1186/s12889-025-21393-4,Research,25,:514
s12913-025-12371-y,Unplanned re-attendance to emergency department of patients with systemic inflammatory response syndrome: a situational analysis,"Siwapon Srikeaw, Ketsarin Utriyaprasit, Wanlaya Thampanichawat, Siriorn Sindhu, Chukiat Viwatwongkasem and Thitipong Tankumpuan",10 February 2025,BMC Health Services Research,//bmchealthservres.biomedcentral.com/articles/10.1186/s12913-025-12371-y,Research,25,:222
s12967-025-06195-x,Promoting the transition from pyroptosis to apoptosis in endothelial cells: a novel approach to alleviate methylglyoxal-induced vascular damage,"Ruqiang Yuan, Hu Xu, Mingqi Wang, Lina Guo, Yang Yao, Xiaoru Zhang and Xiuli Wang",10 February 2025,Journal of Translational Medicine,//translational-medicine.biomedcentral.com/articles/10.1186/s12967-025-06195-x,Research,23,:170
s12912-025-02743-4,The mediating and moderating role of social support on the relationship between psychological well-being and burdensomeness among elderly with chronic illness: community nursing perspective,"Shaimaa Mohamed Amin, Mahmoud Abdelwahab Khedr, Ahmed Farghaly Tawfik, Mohamed Gamal Noaman Malek and Ayman Mohamed El-Ashry",10 February 2025,BMC Nursing,//bmcnurs.biomedcentral.com/articles/10.1186/s12912-025-02743-4,Research,24,:156
s12864-025-11239-z,Genome-wide characterization of circular RNAs in three rat models of pulmonary hypertension reveals distinct pathological patterns,"Gaohui Fu, Lin Qiu, Jun Wang, Shujin Li, Jinglin Tian, Jiayu Wu, Xinyang Lin, Yiheng Zhu, Zixin Liu, Lingjie Luo, Ku Wang, Feilong Zhao, Jiahao Kuang, Shuangqing Liang, Shiran Liang, Yuqing Guo…",10 February 2025,BMC Genomics,//bmcgenomics.biomedcentral.com/articles/10.1186/s12864-025-11239-z,Research,26,:127
s12864-025-11321-6,Gene-based Hardy–Weinberg equilibrium test using genotype count data: application to six types of cancers,"Jo Nishino, Fuyuki Miya and Mamoru Kato",10 February 2025,BMC Genomics,//bmcgenomics.biomedcentral.com/articles/10.1186/s12864-025-11321-6,Research,26,:124
s13054-025-05300-2,Pertussis infection in critically ill infants: meta-analysis and validation of a mortality score,"Vladimir L. Cousin, Caroline Caula, Jason Vignot, Raphael Joye, Matthieu Blanc, Clémence Marais and Pierre Tissières",10 February 2025,Critical Care,//ccforum.biomedcentral.com/articles/10.1186/s13054-025-05300-2,Research,29,:71
s13071-025-06687-1,Studies on experimental animals immunized with different antigenic vaccine combinations of ,"Zeyu Tang, Zhenyu Wang, Zhen Ma, Weidong Jin, Sicheng Lin, Longsheng Wang, Pengfei Min, Lu Li, Jianhao Zhao and Lijun Jia",10 February 2025,Parasites & Vectors,//parasitesandvectors.biomedcentral.com/articles/10.1186/s13071-025-06687-1,Research,18,:49
s12882-025-04011-8,Kidney dysfunction and associated factors among adults living with human immuno-deficiency virus in Africa: a systematic review and meta-analysis,"Worku Chekol Tassew, Agerie Mengistie Zeleke, Yeshiwas Ayale Ferede and Girum Meseret Ayenew",11 February 2025,BMC Nephrology,//bmcnephrol.biomedcentral.com/articles/10.1186/s12882-025-04011-8,Research,26,:67
s13287-025-04184-x,Efficacy and safety of mesenchymal stromal cell transplantation in the treatment of autoimmune and rheumatic immune diseases: a systematic review and meta-analysis of randomized controlled trials,"Liuting Zeng, Chang Liu, Yang Wu, Shuman Liu, Yaru Zheng, Wensa Hao, Dandan Wang and Lingyun Sun",11 February 2025,Stem Cell Research & Therapy,//stemcellres.biomedcentral.com/articles/10.1186/s13287-025-04184-x,Review,16,:65
s12905-024-03536-8,"Coping strategies utilized by patients with cervical cancer: an explorative qualitative study at the Ocean Road Cancer Institute in Dar es Salaam, Tanzania","Joel Seme Ambikile, Emanueli Amosi Msengi, Emmanuel Z. Chona and Rashid A. Gosse",11 February 2025,BMC Women's Health,//bmcwomenshealth.biomedcentral.com/articles/10.1186/s12905-024-03536-8,Research,25,:59
s12944-025-02465-1,Arachidonic acid is involved in high-salt diet-induced coronary remodeling through stimulation of the IRE1α/XBP1s/RUNX2/OPN signaling cascade,"Zhuoran Jia, Jian Wu, Fang Liu, Huimin Wang, Peiyang Zheng, Bing Shen and Ren Zhao",11 February 2025,Lipids in Health and Disease,//lipidworld.biomedcentral.com/articles/10.1186/s12944-025-02465-1,Research,24,:44
s13052-025-01890-3,Clinical features of intracardiac thrombotic complication in patients with severe ,"Xiao Li, Bo Zhai, Yu Tang, Lei Zhang, Jing Wang, Chunna Xu, Lili Dong, Yanqiong Wang, Yanyan Su, Zhen Dong, Haiming Yang and Yuelin Shen",11 February 2025,Italian Journal of Pediatrics,//ijponline.biomedcentral.com/articles/10.1186/s13052-025-01890-3,Research,51,:42
s12915-025-02143-9,Delivering miR-23b-3p by small extracellular vesicles to promote cell senescence and aberrant lipid metabolism,"Ye Jin, Gaoge Sun, Binxian Chen, Siqin Feng, Muyun Tang, Hui Wang, Ying Zhang, Yuan Wang, Yang An, Yu Xiao, Zihan Liu, Peng Liu, Zhuang Tian, Hang Yin, Shuyang Zhang and Xiaodong Luan",11 February 2025,BMC Biology,//bmcbiol.biomedcentral.com/articles/10.1186/s12915-025-02143-9,Research article,23,:41
s13049-025-01335-0,Trauma center vs. nearest non-trauma center: direct transport or bypass approach for out-of-hospital traumatic cardiac arrest,"Ming-Fang Wang, Chen-Bin Chen, Chip-Jin Ng, Wei-Chen Chen, Shang-Li Tsai, Chien-Hsiung Huang, Chi-Yuan Chang, Li-Heng Tsai, Chi-Chun Lin and Cheng-Yu Chien",11 February 2025,"Scandinavian Journal of Trauma, Resuscitation and Emergency Medicine",//sjtrem.biomedcentral.com/articles/10.1186/s13049-025-01335-0,Original research,33,:29
s12245-025-00827-1,Primary diagnosis of atrioventricular pseudo-block in a neonate with definitive diagnosis of long QT syndrome: diagnostic considerations and therapeutic approaches,"Mohammadrafie Khorgami, Fatemeh Naderi and Samira Kalayinia",11 February 2025,International Journal of Emergency Medicine,//intjem.biomedcentral.com/articles/10.1186/s12245-025-00827-1,Case Report,18,:22
s12929-024-01114-6,Multifunctional hyaluronic acid-based biomimetic/pH-responsive hybrid nanostructured lipid carriers for treating bacterial sepsis,"Eman Elhassan, Calvin A. Omolo, Mohammed A. Gafar, Eman A. Ismail, Usri H. Ibrahim, Rene Khan, Mathieu Lesouhaitier, Paul Kubes and Thirumala Govender",11 February 2025,Journal of Biomedical Science,//jbiomedsci.biomedcentral.com/articles/10.1186/s12929-024-01114-6,Research,32,:19
s12944-025-02458-0,Impact of maternal lipid profiles on offspring birth size in late pregnancy among women with and without gestational diabetes,"Jing Peng, Li Zhang, Jing Jin, Huazhang Miao, Guocheng Liu and Yong Guo",10 February 2025,Lipids in Health and Disease,//lipidworld.biomedcentral.com/articles/10.1186/s12944-025-02458-0,Research,24,:43
s13643-025-02782-7,The efficacy and safety of bivalirudin and heparin in patients with acute coronary syndrome: a systematic review and meta-analysis,"You Zhai, Hongcai Shang, Yan Li, Nan Zhang, Jisi Zhang and Shangwen Wu",10 February 2025,Systematic Reviews,//systematicreviewsjournal.biomedcentral.com/articles/10.1186/s13643-025-02782-7,Systematic review update,14,:39
s13567-025-01462-7,Genetic and molecular characterization of a novel reassortant H3N2 influenza virus from a sick pig in Eastern China in 2019,"Fan Yang, Linfang Cheng, Fumin Liu, Hangping Yao, Nanping Wu, Lihua Xu and Haibo Wu",10 February 2025,Veterinary Research,//veterinaryresearch.biomedcentral.com/articles/10.1186/s13567-025-01462-7,Research article,56,:38
s40795-025-01024-2,Effects of vitamin D3 supplementation on the recovery of hospitalized burn patients: a randomized double-blind controlled trial,"Elahe Ghadimi, Roozbeh Rahbar, Elham Jafarzade and Anahita Mansoori",10 February 2025,BMC Nutrition,//bmcnutr.biomedcentral.com/articles/10.1186/s40795-025-01024-2,Research,11,:37
s13049-025-01341-2,Impact of a POCUS-first versus CT-first approach on emergency department length of stay and time to surgical consultation in patients with acute cholecystitis: a retrospective study,"Chien-Tai Huang, Liang-Wei Wang, Shao-Yung Lin, Tai-Yuan Chen, Yi-Ju Ho, Pei-Hsiu Wang, Kao-Lang Liu, Yao-Ming Wu, Hsiu-Po Wang and Wan-Ching Lien",10 February 2025,"Scandinavian Journal of Trauma, Resuscitation and Emergency Medicine",//sjtrem.biomedcentral.com/articles/10.1186/s13049-025-01341-2,Research,33,:28
s40337-025-01191-4,"Behavioral, neuronal, and physiological facets of multidimensional body image in anorexia nervosa: a scoping review","Monica Di Giuliano, Feliberto de la Cruz, Andy Schumann, Regine Zopf and Karl-Jürgen Bär",10 February 2025,Journal of Eating Disorders,//jeatdisord.biomedcentral.com/articles/10.1186/s40337-025-01191-4,Review,13,:23
s43014-024-00294-w,Use of flaxseed cake as a source of nutrients in the food industry and possible health benefits- a review,"Binanshu Talwar, Rajni Chopra, Neetu Kumra Taneja, Monika Chand, Snigdha Homroy, Aishwarya Dhiman, Priyanka Kumari Singh and Shreya Chaudhary",10 February 2025,"Food Production, Processing and Nutrition",//fppn.biomedcentral.com/articles/10.1186/s43014-024-00294-w,Review,7,:22
s12959-025-00694-z,Patient self-management of warfarin therapy – a long-term follow up study,"Erland Hegardt Hall, Marit Holm Sølsnes, Sverre Sandberg and Una Ørvim Sølvik",10 February 2025,Thrombosis Journal,//thrombosisjournal.biomedcentral.com/articles/10.1186/s12959-025-00694-z,Research,23,:14
s12865-025-00684-w,Single-cell characterization of the immune heterogeneity of pulmonary hypertension identifies novel targets for immunotherapy,"Pan Jiang, Huai Huang, Mengshi Xie, Zilong Liu, Lijing Jiang, Hongyu Shi, Xiaodan Wu, Shengyu Hao and Shanqun Li",10 February 2025,BMC Immunology,//bmcimmunol.biomedcentral.com/articles/10.1186/s12865-025-00684-w,Research,26,:5
s40814-025-01601-z,A self-management intervention for newly diagnosed with inflammatory arthritis: a randomized controlled feasibility and fidelity study,"Luise Holberg Lindgren, Tanja Thomsen, Merete Lund Hetland, Mette Aadahl, Sara Danshøj Kristensen, Annette de Thurah and Bente Appel Esbensen",11 February 2025,Pilot and Feasibility Studies,//pilotfeasibilitystudies.biomedcentral.com/articles/10.1186/s40814-025-01601-z,Research,11,:15
s40779-025-00595-2,Tumor dormancy and relapse: understanding the molecular mechanisms of cancer recurrence,"Muhammad Tufail, Can-Hua Jiang and Ning Li",11 February 2025,Military Medical Research,//mmrjournal.biomedcentral.com/articles/10.1186/s40779-025-00595-2,Review,12,:7
s41512-024-00184-2,Against reflexive recalibration: towards a causal framework for addressing miscalibration,"Akshay Swaminathan, Ujwal Srivastava, Lucia Tu, Ivan Lopez, Nigam H. Shah and Andrew J. Vickers",11 February 2025,Diagnostic and Prognostic Research,//diagnprognres.biomedcentral.com/articles/10.1186/s41512-024-00184-2,Commentary,9,:4
s41606-024-00122-7,"Assessment of a multi-ingredient dietary supplement on sleep quality: a randomized, double-blinded, placebo-controlled crossover clinical study","Anna Andersen, David Vollmer, Brent Vaughan, Dennis Eggett, Michael A. Grandner and Xuesheng Han",10 February 2025,Sleep Science and Practice,//sleep.biomedcentral.com/articles/10.1186/s41606-024-00122-7,Research,9,:3
s12889-025-21826-0,Sociodemographic characteristics on behavioural risk factors of noncommunicable diseases in adolescents in Luxembourg,"Felipe G Mendes, Joana Lopes Ferreira and Carolina Catunda",12 February 2025,BMC Public Health,//bmcpublichealth.biomedcentral.com/articles/10.1186/s12889-025-21826-0,Research,25,:586
s12879-025-10612-3,Single-cell transcriptome analysis reveals the dysregulated monocyte state associated with tuberculosis progression,"Rong Ma, Wanzhong Yang, Wei Guo, Honglai Zhang, Zemin Wang and Zhaohui Ge",12 February 2025,BMC Infectious Diseases,//bmcinfectdis.biomedcentral.com/articles/10.1186/s12879-025-10612-3,Research,25,:210
s12884-025-07238-3,The association between inflammatory indices in early pregnancy and the risk of gestational diabetes mellitus in Chinese population,"Jingbo Qiu, Rui Song, Lei Chen, Dongjian Yang, Weiwei Cheng and Wei Zhu",12 February 2025,BMC Pregnancy and Childbirth,//bmcpregnancychildbirth.biomedcentral.com/articles/10.1186/s12884-025-07238-3,Research,25,:151
s12913-024-12162-x,Assistive technologies in healthcare: utilization and healthcare workers perceptions in Germany,"Domenic Sommer, Eva Lermer, Florian Wahl and Luis I. Lopera G.",10 February 2025,BMC Health Services Research,//bmchealthservres.biomedcentral.com/articles/10.1186/s12913-024-12162-x,Research,25,:223
s12891-025-08403-7,Percutaneous vertebroplasty by two-step fluoroscopy: a treatment for osteoporotic compression fractures of thoracic vertebrae in older adults,"Jianzhong Ge, Kuisheng Chen, Peng Xu, Zhiling Zhang, Kai Wang, Tao Zhang, Xin Dong, Zhigang Kang, Yizhou Ge and Feng Chang",10 February 2025,BMC Musculoskeletal Disorders,//bmcmusculoskeletdisord.biomedcentral.com/articles/10.1186/s12891-025-08403-7,Research,26,:135
s12951-025-03133-3,Radiotherapy plus a self-gelation powder encapsulating tRF5-GlyGCC inhibitor potentiates natural kill cell immunity to prevent hepatocellular carcinoma recurrence,"Yihang Gong, Fanxin Zeng, Feng Zhang, Xiaoquan Liu, Zhongheng Li, Wenjie Chen, Haipeng Liu, Xin Li, Yusheng Cheng, Jian Zhang, Yeqian Feng, Tiangen Wu, Wence Zhou and Tong Zhang",10 February 2025,Journal of Nanobiotechnology,//jnanobiotechnology.biomedcentral.com/articles/10.1186/s12951-025-03133-3,Research,23,:100
s12889-025-21715-6,Perceptions and management of diabetes and obesity among people living with HIV in Côte d’Ivoire: a qualitative study,"Jean J. Koffi, Marie K. Plaisy, Joël Djaha, Albert Minga, Stephane N’goran, Simon P. Boni, Didier K. Ekouevi, Raoul Moh, Antoine Jaquet and Noelle A. Benzekri",11 February 2025,BMC Public Health,//bmcpublichealth.biomedcentral.com/articles/10.1186/s12889-025-21715-6,Research,25,:555
s12903-025-05573-7,Exploring the potential of a school brushing program using a connected brush in underserved areas: a feasibility cluster randomised trial,"George Kitsaras, Nicola Boothman, Juliana Gomez, Michaela Goodwin, Momina Muzammil and Tanya Walsh",11 February 2025,BMC Oral Health,//bmcoralhealth.biomedcentral.com/articles/10.1186/s12903-025-05573-7,Research,25,:223
s12884-025-07214-x,Association between isolated abnormal 1-hour glucose challenge test and adverse pregnancy outcomes: a retrospective review from an urban tertiary care center in the United States,"Hillary Hosier, Lisbet S. Lundsberg, Jennifer Culhane, Caitlin Partridge and Moeun Son",11 February 2025,BMC Pregnancy and Childbirth,//bmcpregnancychildbirth.biomedcentral.com/articles/10.1186/s12884-025-07214-x,Research,25,:145
s12889-025-21856-8,The relationship between physical exercise and psychological capital in college students: the mediating role of perceived social support and self-control,"Yan Lin, Mengjiao He, Weiqing Zhou, Minghao Zhang, Qing Wang, Yingying Chen, Lina Wang and Hua Guo",12 February 2025,BMC Public Health,//bmcpublichealth.biomedcentral.com/articles/10.1186/s12889-025-21856-8,Research,25,:581
s12888-025-06533-9,Stress management through cognitive reconstruction and positive thinking in women with recurrent failed In Vitro Fertilization: a randomized controlled trial,"Seyedeh Zahra Masoumi, Sara Abdoli, Farideh Kazemi, Shamim Pilehvari, Mohammad Ahmadpanah, Batul Khodakarami and Faezeh Fazli",12 February 2025,BMC Psychiatry,//bmcpsychiatry.biomedcentral.com/articles/10.1186/s12888-025-06533-9,Research,25,:119
s12889-025-21725-4,Joint association of antioxidant intakes from diet and supplements and sedentary behavior with all-cause and cardiovascular disease mortality among US adults,"Dingyuan Tu, Zhiqiang Song, Changzhen Ren, Yuhong Hu, Qun Jin and Yang Wang",12 February 2025,BMC Public Health,//bmcpublichealth.biomedcentral.com/articles/10.1186/s12889-025-21725-4,Research,25,:577
s12884-025-07166-2,Pre-conception clinical risk factors differ between spontaneous and indicated preterm birth in a densely phenotyped EHR cohort,"Jean M. Costello, Hannah Takasuka, Jacquelyn Roger, Ophelia Yin, Alice Tang, Tomiko Oskotsky, Marina Sirota and John A. Capra",12 February 2025,BMC Pregnancy and Childbirth,//bmcpregnancychildbirth.biomedcentral.com/articles/10.1186/s12884-025-07166-2,Research,25,:149
s40001-025-02288-x,"Vitamin deficiency, a neglected risk factor for post-anesthesia complications: a systematic review","Ahmad Bagheri Moghaddam, Amene Raouf-Rahmati, Ahmad Nemati, Shabnam Niroumand, Ahmad Reza Mashreghi, Mobin Gholami and Ramin Bahramizadeh Sajjadi",12 February 2025,European Journal of Medical Research,//eurjmedres.biomedcentral.com/articles/10.1186/s40001-025-02288-x,Review,30,:97
s13223-025-00948-5,Food oral immunotherapy,"Mary McHenry, Philippe Bégin, Edmond S. Chan, Meriem Latrous and Harold Kim",12 February 2025,"Allergy, Asthma & Clinical Immunology",//aacijournal.biomedcentral.com/articles/10.1186/s13223-025-00948-5,Review,20(Suppl 3),:82
s12911-025-02921-z,Prediction of adverse pregnancy outcomes using machine learning techniques: evidence from analysis of electronic medical records data in Rwanda,"Muzungu Hirwa Sylvain, Emmanuel Christian Nyabyenda, Melissa Uwase, Isaac Komezusenge, Fauste Ndikumana and Innocent Ngaruye",12 February 2025,BMC Medical Informatics and Decision Making,//bmcmedinformdecismak.biomedcentral.com/articles/10.1186/s12911-025-02921-z,Research,25,:76
s12882-025-04004-7,Relationship of gene polymorphisms for complement components C3 and factor H and kidney allograft function,"Marija Milinkovic, Vladimir Perovic, Stefan Maksimovic, Irena Vukovic, Milica Kravljaca, Voin Brkovic, Iman Assi Milosevic, Milan Radovic and Mirjana Lausevic",12 February 2025,BMC Nephrology,//bmcnephrol.biomedcentral.com/articles/10.1186/s12882-025-04004-7,Research,26,:74
s12911-025-02881-4,Analytical validation of Exandra: a clinical decision support system for promoting guideline-directed therapy of type-2 diabetes in primary care – a collaborative study with experts from Diabetes Canada,"Klaudia Grechuta, Pedram Shokouh, Valentina Bayer, Henrich Kraemer, Jeremy Gilbert, Susie Jin and Ahmad Alhussein",12 February 2025,BMC Medical Informatics and Decision Making,//bmcmedinformdecismak.biomedcentral.com/articles/10.1186/s12911-025-02881-4,Research,25,:74
s12871-025-02934-1,"Effect of intravenous lidocaine on Ciprofol dose in patients undergoing painless gastrointestinal endoscopy: a double-blinded, randomized, controlled trial","Xinyu Cao, Guangli Zhu, Chongya Yang, Bin Wang, Yang Ang, Kangli Hui, Jingwei Xiong, Jiejie Zhou, Qiang Sun and Manlin Duan",12 February 2025,BMC Anesthesiology,//bmcanesthesiol.biomedcentral.com/articles/10.1186/s12871-025-02934-1,Research,25,:69
s12871-025-02919-0,Effect of nerve block combined with superficial general anaesthesia on anaesthetic dosage and anaesthetic awakening in paediatric surgery,"Fu Yao, Gang Zhang, Bo Yang and Jilin Xiang",12 February 2025,BMC Anesthesiology,//bmcanesthesiol.biomedcentral.com/articles/10.1186/s12871-025-02919-0,Research,25,:67
s12883-024-03995-4,Identifying pathways to the prevention of dementia: the Netherlands consortium of dementia cohorts,"Julie E. Oomens, Justine E.F. Moonen, Stephanie J.B. Vos, Magdalena Beran, Pedro Mateus, Peter P. De Deyn, Wiesje M. van der Flier, Mirjam I. Geerlings, Martijn A. Huisman, M. Arfan Ikram, Miranda T. Schram, P. Eline Slagboom, W. M. Monique Verschuren, Marian Beekman, Iñigo Bermejo, Mahlet Birhanu…",12 February 2025,BMC Neurology,//bmcneurol.biomedcentral.com/articles/10.1186/s12883-024-03995-4,Research,25,:59
s12877-025-05729-8,Active aging education: an effective tool for enhancing knowledge and attitudes of health volunteers: a clinical trial study,"Fatemeh Asgharian, Fatemeh Vizeshfar and Zahra Keshtkaran",10 February 2025,BMC Geriatrics,//bmcgeriatr.biomedcentral.com/articles/10.1186/s12877-025-05729-8,Research,25,:89
s40337-025-01211-3,The hybrid space in eating disorder treatment: towards a personalized approach to integrating telehealth and in-person care,Kaylee Novack and Nicholas Chadi,10 February 2025,Journal of Eating Disorders,//jeatdisord.biomedcentral.com/articles/10.1186/s40337-025-01211-3,Comment,13,:22
s40337-025-01205-1,"The association of binge eating with internet addiction, body shape concerns, and BMI among university students in the United Arab Emirates","Hadia Radwan, Dana N. Abdelrahim, Tareq Osaili, Yara Thabet, Hadeel Barakat, Mariam Khetrish, Afaf Hawa, Ayah Daoud, Omar Atef Abdelhamid Mahmoud and Hayder Hasan",10 February 2025,Journal of Eating Disorders,//jeatdisord.biomedcentral.com/articles/10.1186/s40337-025-01205-1,Research,13,:21
s12245-025-00820-8,Artificial intelligence in gynecologic and obstetric emergencies,Hassan M. Elbiss and Fikri M. Abu-Zidan,10 February 2025,International Journal of Emergency Medicine,//intjem.biomedcentral.com/articles/10.1186/s12245-025-00820-8,Review,18,:20
s40104-025-01157-1,Single-nucleus transcriptomes reveal the underlying mechanisms of dynamic whitening in thermogenic adipose tissue in goats,"Manman Li, Nange Ma, Shujie Luo, Yuyi Lu, Xixi Yan, Yang Li, Xinmei Li, Zhuohui Li, Zhipei Wu, Zhenyu Wei, Wei Wang, Huimei Fan, Yu Jiang, Yan Xiong and Yu Wang",9 February 2025,Journal of Animal Science and Biotechnology,//jasbsci.biomedcentral.com/articles/10.1186/s40104-025-01157-1,Research,16,:23
s12889-024-21110-7,COVID-19 in the years 2020 to 2022 in Germany: effects of comorbidities and co-medications based on a large-scale database analysis,"Roland Linder, Jonas Peltner, Anatoli Astvatsatourov, Willy Gomm and Britta Haenisch",8 February 2025,BMC Public Health,//bmcpublichealth.biomedcentral.com/articles/10.1186/s12889-024-21110-7,Research,25,:525
s12879-025-10557-7,Protective effect of exercise on animals with sepsis: a systematic review of the existing literature,"Na Yang, Nan Jiang, Chunming Shen, Ming Gao, Qian Tong and Jian Sun",8 February 2025,BMC Infectious Diseases,//bmcinfectdis.biomedcentral.com/articles/10.1186/s12879-025-10557-7,Systematic Review,25,:195
s12884-025-07218-7,Amniotic fluid microbiota and metabolism with non-syndromic congenital heart defects: a multi-omics analysis,"Wenli Xu, Lu Li, Hong Kang, Meixian Wang, Yanqun Liu, Guicun Wang, Ping Yu, Juan Liang and Zhen Liu",8 February 2025,BMC Pregnancy and Childbirth,//bmcpregnancychildbirth.biomedcentral.com/articles/10.1186/s12884-025-07218-7,Research,25,:130
s12872-025-04533-x,Complications after treatment of type B aortic dissection with TEVAR stent-graft deployment in zone 2,"Xiao-Biao Zhou, Xin Chen, Zhan Wang, Ding-Qiang Chen, Rui Li, Li Li, Lin-Xi Xu, Zhi-Huang Chen, Man Song, Jian Huang, Jia-Wei Zhuang, Gang-Yi Cheng, Qing-Xin Xu, Zhuang-Hui Zhu and Zhong-Gui Shan",11 February 2025,BMC Cardiovascular Disorders,//bmccardiovascdisord.biomedcentral.com/articles/10.1186/s12872-025-04533-x,Research,25,:91
s12916-025-03920-7,Metabolomics- and proteomics-based multi-omics integration reveals early metabolite alterations in sepsis-associated acute kidney injury,"Pengfei Huang, Yanqi Liu, Yue Li, Yu Xin, Chuanchuan Nan, Yinghao Luo, Yating Feng, Nana Jin, Yahui Peng, Dawei Wang, Yang Zhou, Feiyu Luan, Xinran Wang, Xibo Wang, Hongxu Li, Yuxin Zhou…",11 February 2025,BMC Medicine,//bmcmedicine.biomedcentral.com/articles/10.1186/s12916-025-03920-7,Research,23,:79
s12882-025-03996-6,Analysis of efficacy factors in unilateral obstructive severe renal insufficiency: a single-centre retrospective study,"Jia Li, Hua Pang and Wenbo Li",11 February 2025,BMC Nephrology,//bmcnephrol.biomedcentral.com/articles/10.1186/s12882-025-03996-6,Research,26,:69
s13023-025-03577-8,Functional evaluation of novel compound heterozygous variants in ,"Na Wang, Yuanxing Yang, Xiong Tian, Hongjun Fu, Shuaishuai Chen, Juping Du, Mengyi Xu, Haixia He, Bo Shen and Jiaqin Xu",11 February 2025,Orphanet Journal of Rare Diseases,//ojrd.biomedcentral.com/articles/10.1186/s13023-025-03577-8,Research,20,:66
s12882-025-03968-w,Current strategies on kidney regeneration using tissue engineering approaches: a systematic review,"Parham Torabinavid, Mohammad Hossein Khosropanah, Ashkan Azimzadeh and Abdol-Mohammad Kajbafzadeh",11 February 2025,BMC Nephrology,//bmcnephrol.biomedcentral.com/articles/10.1186/s12882-025-03968-w,Research,26,:66
